data,hora_inicio,duracao_segundos
2024-12-14,10:43:30,10.01
2024-12-14,10:43:42,10.03
2024-12-14,10:43:54,10.07
2024-12-14,10:44:06,10.04
2024-12-14,10:44:18,10.04
2024-12-14,10:44:30,10.04
2024-12-14,10:44:42,10.03
2024-12-14,10:44:54,10.05
2024-12-14,10:45:06,10.07
2024-12-14,10:45:18,10.00
2024-12-14,10:45:30,10.03
2024-12-14,10:45:42,10.03
2024-12-14,10:45:54,10.03
2024-12-14,10:46:06,10.01
2024-12-14,10:46:18,10.04
2024-12-14,10:46:30,10.03
2024-12-14,10:46:42,10.01
2024-12-14,10:46:54,10.07
2024-12-14,10:47:06,10.00
2024-12-14,10:47:18,10.07
2024-12-14,10:47:30,10.06
2024-12-14,10:47:42,10.06
2024-12-14,10:47:54,10.04
2024-12-14,10:48:06,10.02
2024-12-14,10:48:18,10.02
2024-12-14,10:48:30,10.07
2024-12-14,10:48:43,10.04
2024-12-14,10:48:55,10.06
2024-12-14,10:49:07,10.00
2024-12-14,10:49:19,10.02
2024-12-14,10:49:31,10.05
2024-12-14,10:49:43,10.05
2024-12-14,10:49:55,10.01
2024-12-14,10:50:07,10.04
2024-12-14,10:50:19,10.02
2024-12-14,10:50:31,10.00
2024-12-14,10:50:43,10.05
2024-12-14,10:50:55,10.08
2024-12-14,10:51:07,10.06
2024-12-14,10:51:19,10.01
2024-12-14,10:51:31,10.04
2024-12-14,10:51:43,10.05
2024-12-14,10:51:55,10.00
2024-12-14,10:52:07,10.03
2024-12-14,10:52:19,10.06
2024-12-14,10:52:31,10.05
2024-12-14,10:52:43,10.04
2024-12-14,10:52:55,10.01
2024-12-14,10:53:07,10.03
2024-12-14,10:53:19,10.05
2024-12-14,10:53:31,10.07
2024-12-14,10:53:44,10.04
2024-12-14,10:53:56,10.06
2024-12-14,10:54:08,10.07
2024-12-14,10:54:20,10.02
2024-12-14,10:54:32,10.00
2024-12-14,10:54:44,10.05
2024-12-14,10:54:56,10.00
2024-12-14,10:55:08,10.05
2024-12-14,10:55:20,10.05
2024-12-14,10:55:32,10.00
2024-12-14,10:55:44,10.02
2024-12-14,10:55:56,10.07
2024-12-14,10:56:08,10.06
2024-12-14,10:56:20,10.05
2024-12-14,10:56:32,10.06
2024-12-14,10:56:44,10.02
2024-12-14,10:56:56,10.06
2024-12-14,10:57:08,10.06
2024-12-14,10:57:20,10.01
2024-12-14,10:57:32,10.02
2024-12-14,10:57:44,10.02
2024-12-14,10:57:56,10.05
2024-12-14,10:58:08,10.01
2024-12-14,10:58:20,10.07
2024-12-14,10:58:32,10.06
2024-12-14,10:58:44,10.05
2024-12-14,10:58:57,10.06
2024-12-14,10:59:09,10.05
2024-12-14,10:59:21,10.07
2024-12-14,10:59:33,10.01
2024-12-14,10:59:45,10.05
2024-12-14,10:59:57,10.07
2024-12-14,11:00:09,10.04
2024-12-14,11:00:21,10.05
2024-12-14,11:00:33,10.05
2024-12-14,11:00:45,10.06
2024-12-14,11:00:57,10.03
2024-12-14,11:01:09,10.04
2024-12-14,11:01:21,10.07
2024-12-14,11:01:33,10.04
2024-12-14,11:01:45,10.06
2024-12-14,11:01:57,10.00
2024-12-14,11:02:09,10.05
2024-12-14,11:02:21,10.01
2024-12-14,11:02:33,10.04
2024-12-14,11:02:45,10.04
2024-12-14,11:02:57,10.07
2024-12-14,11:03:10,10.05
2024-12-14,11:03:22,10.07
2024-12-14,11:03:34,10.07
2024-12-14,11:03:46,10.03
2024-12-14,11:03:58,10.02
2024-12-14,11:04:10,10.01
2024-12-14,11:04:22,10.04
2024-12-14,11:04:34,10.02
2024-12-14,11:04:46,10.00
2024-12-14,11:04:58,10.03
2024-12-14,11:05:10,10.06
2024-12-14,11:05:22,10.03
2024-12-14,11:05:34,10.03
2024-12-14,11:05:46,10.06
2024-12-14,11:05:58,10.02
2024-12-14,11:06:10,10.02
2024-12-14,11:06:22,10.05
2024-12-14,11:06:34,10.00
2024-12-14,11:06:46,10.02
2024-12-14,11:06:58,10.01
2024-12-14,11:07:10,10.03
2024-12-14,11:07:22,10.01
2024-12-14,11:07:34,10.02
2024-12-14,11:07:46,10.07
2024-12-14,11:07:58,10.05
2024-12-14,11:08:10,10.05
2024-12-14,11:08:22,10.02
2024-12-14,11:08:34,10.05
2024-12-14,11:08:47,10.04
2024-12-14,11:08:59,10.04
2024-12-14,11:09:11,10.03
2024-12-14,11:09:23,10.03
2024-12-14,11:09:35,10.02
2024-12-14,11:09:47,10.06
2024-12-14,11:09:59,10.05
2024-12-14,11:10:11,10.05
2024-12-14,11:10:23,10.06
2024-12-14,11:10:35,10.03
2024-12-14,11:10:47,10.01
2024-12-14,11:10:59,10.05
2024-12-14,11:11:11,10.07
2024-12-14,11:11:23,10.02
2024-12-14,11:11:35,10.03
2024-12-14,11:11:47,10.05
2024-12-14,11:11:59,10.01
2024-12-14,11:12:11,10.03
2024-12-14,11:12:23,10.00
2024-12-14,11:12:35,10.01
2024-12-14,11:12:47,10.02
2024-12-14,11:12:59,10.02
2024-12-14,11:13:11,10.05
2024-12-14,11:13:23,10.06
2024-12-14,11:13:35,10.05
2024-12-14,11:13:47,10.02
2024-12-14,11:13:59,10.06
2024-12-14,11:14:12,10.07
2024-12-14,11:14:24,10.05
2024-12-14,11:14:36,10.05
2024-12-14,11:14:48,10.04
2024-12-14,11:15:00,10.04
2024-12-14,11:15:12,10.03
2024-12-14,11:15:24,10.05
2024-12-14,11:15:36,10.02
2024-12-14,11:15:48,10.05
2024-12-14,11:16:00,10.06
2024-12-14,11:16:12,10.06
2024-12-14,11:16:24,10.05
2024-12-14,11:16:36,10.05
2024-12-14,11:16:48,10.01
2024-12-14,11:17:00,10.06
2024-12-14,11:17:12,10.00
2024-12-14,11:17:24,10.04
2024-12-14,11:17:36,10.02
2024-12-14,11:17:48,10.06
2024-12-14,11:18:00,10.05
2024-12-14,11:18:12,10.00
2024-12-14,11:18:24,10.01
2024-12-14,11:18:36,10.00
2024-12-14,11:18:48,10.00
2024-12-14,11:19:00,10.00
2024-12-14,11:19:12,10.01
2024-12-14,11:19:24,10.00
2024-12-14,11:19:36,10.01
2024-12-14,11:19:49,10.00
2024-12-14,11:20:01,10.01
2024-12-14,11:20:13,10.01
2024-12-14,11:20:25,10.00
2024-12-14,11:20:37,10.01
2024-12-14,11:20:49,10.02
2024-12-14,11:21:01,10.01
2024-12-14,11:21:13,10.00
2024-12-14,11:21:25,10.00
2024-12-14,11:21:37,10.05
2024-12-14,11:21:49,10.01
2024-12-14,11:22:01,10.00
2024-12-14,11:22:13,10.00
2024-12-14,11:22:25,10.01
2024-12-14,11:22:37,10.07
2024-12-14,11:22:49,10.00
2024-12-14,11:23:01,10.00
2024-12-14,11:23:13,10.00
2024-12-14,11:23:25,10.01
2024-12-14,11:23:37,10.00
